date: 2014-04-25 10:46:58.972
argv: c:\Program Files\nodejs\node.exe c:\Users\chenyufu\AppData\Roaming\npm\node_modules\hexo\bin\hexo s
os: Windows_NT 6.1.7601 win32 ia32
version:
  hexo: 2.4.5
  http_parser: 1.0
  node: 0.10.23
  v8: 3.14.5.9
  ares: 1.9.0-DEV
  uv: 0.10.20
  zlib: 1.2.3
  modules: 11
  openssl: 1.0.1e
---

[update] 10:46:15.456 Source: _posts\javascript-interface.md
[update] 10:46:15.457 Source: _posts\javascript-interface.md
[update] 10:46:15.457 Source: _posts\javascript-interface.md
[update] 10:46:15.458 Source: _posts\javascript-interface.md
[update] 10:46:15.458 Source: _posts\javascript-interface.md
[debug] 10:46:15.645 Processed: _posts/javascript-interface.md
[debug] 10:46:15.685 Processed: _posts/javascript-interface.md
[debug] 10:46:15.718 Processed: _posts/javascript-interface.md
[debug] 10:46:15.718 Processed: _posts/javascript-interface.md
[debug] 10:46:15.744 Processed: _posts/javascript-interface.md
[debug] 10:46:15.758 Processed: _posts/javascript-interface.md
[debug] 10:46:15.758 Processed: _posts/javascript-interface.md
[debug] 10:46:15.758 Processed: _posts/javascript-interface.md
[debug] 10:46:15.758 Processed: _posts/javascript-interface.md
[debug] 10:46:15.759 Cache saved
[delete] 10:46:22.426 Source: _posts\javascript-inherit.md
[update] 10:46:22.439 Source: _posts\javascript-inherit.md
[update] 10:46:22.440 Source: _posts\javascript-inherit.md
[update] 10:46:22.441 Source: _posts\javascript-inherit.md
[create] 10:46:22.448 Source: _posts\javascript-inherit.md
[create] 10:46:22.448 Source: _posts\javascript-inherit.md
[create] 10:46:22.449 Source: _posts\javascript-inherit.md
[create] 10:46:22.450 Source: _posts\javascript-inherit.md
[create] 10:46:22.457 Source: _posts\javascript-inherit.md
[create] 10:46:22.458 Source: _posts\javascript-inherit.md
[create] 10:46:22.459 Source: _posts\javascript-inherit.md
[create] 10:46:22.460 Source: _posts\javascript-inherit.md
[debug] 10:46:22.583 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.669 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.685 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.692 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.699 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.705 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.713 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.713 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.713 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.713 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.713 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.713 Processed: _posts/javascript-inherit.md
[debug] 10:46:22.714 Cache saved
[update] 10:46:32.692 Source: _posts\javascript-interface.md
[delete] 10:46:32.694 Source: _posts\javascript-interface.md
[update] 10:46:32.695 Source: _posts\javascript-interface.md
[update] 10:46:32.696 Source: _posts\javascript-interface.md
[update] 10:46:32.700 Source: _posts\javascript-interface.md
[update] 10:46:32.701 Source: _posts\javascript-interface.md
[update] 10:46:32.702 Source: _posts\javascript-interface.md
[update] 10:46:32.702 Source: _posts\javascript-interface.md
[update] 10:46:32.703 Source: _posts\javascript-interface.md
[update] 10:46:32.703 Source: _posts\javascript-interface.md
[create] 10:46:32.710 Source: _posts\javascript-interface.md
[create] 10:46:32.711 Source: _posts\javascript-interface.md
[create] 10:46:32.712 Source: _posts\javascript-interface.md
[create] 10:46:32.712 Source: _posts\javascript-interface.md
[create] 10:46:32.713 Source: _posts\javascript-interface.md
[create] 10:46:32.714 Source: _posts\javascript-interface.md
[create] 10:46:32.714 Source: _posts\javascript-interface.md
[create] 10:46:32.714 Source: _posts\javascript-interface.md
[create] 10:46:32.715 Source: _posts\javascript-interface.md
[debug] 10:46:32.863 Processed: _posts/javascript-interface.md
[debug] 10:46:33.088 Processed: _posts/javascript-interface.md
[debug] 10:46:33.115 Processed: _posts/javascript-interface.md
[debug] 10:46:33.141 Processed: _posts/javascript-interface.md
[debug] 10:46:33.141 Processed: _posts/javascript-interface.md
[debug] 10:46:33.154 Processed: _posts/javascript-interface.md
[debug] 10:46:33.167 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
[debug] 10:46:33.186 Processed: _posts/javascript-interface.md
